CATE,bedrooms,halls,AREA,floor,subway,school,price
朝阳,1,0,46.06,middle,1,0,4.885
朝阳,1,1,59.09,middle,1,0,4.654
海淀,5,2,278.95,high,1,1,7.1662
海淀,3,2,207,high,1,1,5.7972
丰台,2,1,53.32,low,1,1,7.1268
丰台,2,1,58,low,1,1,7.069
海淀,2,1,55.8,low,1,1,5.7348
海淀,2,1,58.9,middle,1,1,5.5179
海淀,2,1,66.9,middle,1,1,4.5591
丰台,2,2,53,middle,1,0,7.3585
朝阳,2,2,94.19,middle,1,0,6.0516
朝阳,1,0,38.94,high,1,0,5.6498
朝阳,1,0,48,high,1,0,5.5209
朝阳,1,0,36.74,middle,1,0,5.4437
朝阳,1,0,45,low,1,0,5.3334
朝阳,1,1,92.98,middle,1,0,5.0549
朝阳,1,1,64.6,middle,1,0,6.8576
朝阳,1,1,80.74,low,1,0,6.6634
朝阳,1,1,81,low,1,0,6.605
朝阳,1,1,78.23,low,1,0,6.7749
朝阳,4,2,218.28,low,1,1,7.101
丰台,1,1,46,low,1,0,5.2174
丰台,1,1,46.39,low,1,0,4.57
丰台,2,1,58,low,1,0,4.569
丰台,1,1,46.39,high,1,0,4.5269
丰台,1,0,46.39,middle,1,0,4.4191
丰台,1,1,46.39,low,1,0,4.4191
丰台,1,1,60.56,high,1,0,4.3429
丰台,1,1,48.44,high,1,0,3.9637
朝阳,1,0,71.77,high,1,0,3.6227
朝阳,3,1,141,high,1,0,4.5036
朝阳,3,1,143.19,low,1,0,3.9109
朝阳,3,2,146.72,middle,1,0,3.8509
朝阳,3,2,155.3,high,1,0,7.727
朝阳,3,2,150.4,middle,1,0,7.4469
朝阳,2,2,119.13,middle,1,0,7.3869
朝阳,3,2,139.01,high,1,0,7.1938
朝阳,1,0,46.44,high,1,0,7.106
朝阳,4,2,192.68,high,1,0,7.0065
朝阳,2,2,116.64,middle,1,0,6.5587
朝阳,2,2,117,middle,1,0,6.3077
朝阳,1,0,66.36,high,1,0,6.1785
朝阳,1,0,54.62,high,1,0,6.0418
朝阳,1,0,53.44,low,1,0,5.8009
海淀,4,2,212,low,1,0,9.9057
朝阳,2,1,79,high,1,1,4.9368
朝阳,3,2,135.62,middle,1,1,4.8666
朝阳,2,1,111.1,high,1,1,4.7705
朝阳,1,0,62.56,low,1,1,4.0122
海淀,1,0,49.96,low,1,1,8.6069
海淀,1,1,76.17,middle,1,1,7.2207
海淀,1,1,89.2,middle,1,1,6.7265
海淀,2,1,89.2,middle,1,1,6.4462
西城,2,1,57.5,middle,1,1,11.4435
西城,2,1,57.7,middle,1,1,11.4039
西城,1,1,48.4,middle,1,1,11.1571
西城,2,1,58.3,low,1,1,11.1493
西城,2,1,51.3,middle,1,1,10.5264
西城,2,1,57.7,high,1,1,10.4853
